Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
495,"COOP ELECTRICA, SERVICIOS ANEXOS, DE VIVIENDA Y CREDITO DE PERGAMINO LTDA",MARCELINO UGARTE N° 468,PERGAMINO,PERGAMINO,BUENOS AIRES,B2702FNR,,(02477) 436710,30-54569368-9,30/10/1934,SERVICIOS PUBLICOS
499,TAMBEROS DE TRES ALGARROBOS COOP LTDA,25 DE MAYO Y SARMIENTO,TRES ALGARROBOS,CARLOS TEJEDOR,BUENOS AIRES,B6231,,0388/92046,33-50187032-9,15/12/1934,AGROPECUARIA
503,COOP DE LUZ Y FUERZA ELECTRICA DE ROJAS LTDA,GENERAL PAZ N° 178,ROJAS,ROJAS,BUENOS AIRES,B2705,info@clyfer.com.ar,02475-465900,30-54570775-2,04/01/1935,SERVICIOS PUBLICOS
509,COOP DEFENSA DE AGRICULTORES LTDA,JUAN XXIII N° 331,CHACABUCO,CHACABUCO (BA),BUENOS AIRES,B6740,,(02352) 431531/427287,30-50787836-5,14/01/1935,AGROPECUARIA
515,COOP LTDA SAN JOSE,ITUZAINGO N° 256,RAFAELA,CASTELLANOS,SANTA FE,S2300,,,30-50144350-2,02/02/1935,AGROPECUARIA
516,COOP DE PROVISION Y CONSUMO DE FLORES PARA FLORISTAS Y FLORICULTORES CULTIFLOR LTDA,CALLAO N° 1050,ROSARIO,ROSARIO,SANTA FE,S2000,,4217-978,30-52963728-0,05/02/1935,DE PROVISION - CONSUMO
520,COOP AGRICOLA LTDA DE PICADA LIBERTAD,LIBERTAD N° 499,LEANDRO N. ALEM,LEANDRO N. ALEM (MN),MISIONES,N3315,picadalibertad@hotmail.com,(03754) 422-545/470,30-50350599-8,20/02/1935,AGROPECUARIA
522,LIGA ECONOMICA DE FARMACEUTICOS ACTUANTES LTDA L.E.F.A. COOP DE PROVISION,MORENO N° 2063,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1094,,,,23/02/1935,DE PROVISION
526,"COOP DE ELECTRICIDAD, OBRAS Y SERVICIOS PUBLICOS LTDA DE VILLA RUMIPAL",SARMIENTO N° 376,VILLA RUMIPAL,CALAMUCHITA,CORDOBA,X5864,info@cooprumipal.com.ar,03546-498415,30-54571761-8,21/03/1935,SERVICIOS PUBLICOS
528,UCAL UNION DE COOP AGRICOLAS ALGODONERAS LTDA,MARIANO MORENO N° 513,PRESIDENCIA ROQUE SAENZ PEÑA,COMANDANTE FERNANDEZ,CHACO,H3700,reche@ucal.com.ar,(03732)421960/421468,30-50155477-0,26/03/1935,FEDERACIONES - CONFEDERACIONES
534,"""C.E.L.Z. - COOP DE SERVICIOS Y CONSUMO LTDA""",SAENZ N° 160 piso 1 Of/Dto/Loc:A,LOMAS DE ZAMORA,LOMAS DE ZAMORA,BUENOS AIRES,B1832HUD,,4244-2100,30-53112532-7,22/04/1935,SERVICIOS PUBLICOS
538,"COOP DE CONSUMO, SERVICIOS PUBLICOS Y SOCIALES DE DEAN FUNES LTDA",RIVADAVIA N° 123,DEAN FUNES,ISCHILIN,CORDOBA,X5200,coop_dfunes3@intinet.com.ar,03521-420089/420609,30-54571266-7,09/05/1935,CONSUMO - PROVISION
543,"COOP DE PROVISION DE ELECTRICIDAD, SERVICIOS PUBLICOS, VIVIENDA Y CREDITO DE MAR DEL PLATA LTDA",ALBERTI N° 3600,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B7600FJT,coopecom@argenet.com.ar; info@coopelectmdp.com.ar,0223-4951411/4935777,30-54569450-2,10/06/1935,SERVICIOS PUBLICOS
544,LA NUEVA COOP DE SEGUROS LTDA,BARTOLOME MITRE N° 4068,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1201AAZ,info@lanuevaseguros.com.ar,4958-9700,30-50004113-3,14/06/1935,DE SEGUROS
554,COOP FERROVIARIA DE CREDITO LTDA,LIBERTADOR GRAL. SAN MARTIN N° 86,TAFI VIEJO,TAFI VIEJO,TUCUMAN,T4103,,,33-54672099-9,23/07/1935,CREDITO
555,COOP COLONOS UNIDOS LTDA AGROPECUARIA FORESTAL,BELGRANO N° 1400,CAMPO LARGO,INDEPENDENCIA (CHA),CHACO,H3716,,17-18,30-50100569-6,30/07/1935,AGROPECUARIA
561,COOP PATRONAL LTDA DE SEGUROS,FLORIDA (GALERIA GUEMES) N° 165 piso 2° Of/Dto/Loc:200,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1333,,,,19/09/1935,DE SEGUROS
566,COOP DE CARNES Y ANEXOS DE MENDOZA LTDA,PASO DE LOS ANDES N° 2221,MENDOZA,CAPITAL (MZ),MENDOZA,M5500,,,,04/11/1935,DE PROVISION
568,UNION AGRICOLA DE ROMANG COOP LTDA,C.C. 14 - SAN MARTIN N° 1044,ROMANG,SAN JAVIER (SF),SANTA FE,S3555,,96014,30-52792199-2,27/11/1935,AGROPECUARIA
571,"COOP DE ELECTRICIDAD, OBRAS, CREDITO Y SERVICIOS PUBLICOS DE LAS FLORES LTDA",25 DE MAYO N° 513,LAS FLORES (586),LAS FLORES,BUENOS AIRES,B7200,coopellf@coopenet.com.ar,02244-452066/454161,30-54571310-8,13/12/1935,SERVICIOS PUBLICOS
574,COOP DE SERVICIOS PUBLICOS DE PORTEÑA LTDA,AVDA. SIMON L. DANIELLE N° 259,PORTEÑA,SAN JUSTO (CBA),CORDOBA,X2415BTB,csppl@dataco34.com.ar,03564-450000/001/002/459,30-54570898-8,16/01/1936,SERVICIOS PUBLICOS
580,COOP FERROVIARIA DE CREDITO Y CONSUMO SANTA FE DE LA VERA CRUZ LTDA,C.C. 99 - SAN JERONIMO N° 3116,SANTA FE,LA CAPITAL (SF),SANTA FE,S3000,,30589,30-54671263-6,07/02/1936,CREDITO - CONSUMO - CREDITO Y CONSUMO
587,"COOP DE PROV.DE OBRAS, SERV.PUBL., SOC.Y ASIST., DE VIV., COMSUMO Y CREDITO DE CERES LTDA (CERCOOP)",SARMIENTO Y RIVADAVIA,CERES,SAN CRISTOBAL,SANTA FE,S2340,,,30-54569757-9,04/03/1936,SERVICIOS PUBLICOS
588,MI CASA COOP AGRICOLA GANADERA DE BORDENAVE LTDA,F.C.N.G.R.,BORDENAVE,PUAN,BUENOS AIRES,B8187,,,33-52658707-9,05/03/1936,AGROPECUARIA
593,COOP AGRICOLA SANTIAGO DEL ESTERO LTDA,Sin datos calle B° LOC.:LOS CARDOZOS,SIN LOCALIDAD (21),SIN DEPARTAMENTO (21),SANTIAGO DEL ESTERO,G4206,,,30-61638020-2,07/04/1936,AGROPECUARIA
594,COOP INTEGRAL LTDA DE VILLA GOBERNADOR GALVEZ,ING. MOSCONI Y P.OPPICI,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,S2124,cil@coopvgg.com.ar,(0341) 492-8609/1214/4536,30-54564073-9,15/04/1936,SERVICIOS PUBLICOS
598,"COOP DE PROVISION DE ELECTRICIDAD, OBRAS Y SERVICIOS PUBLICOS DE EDUARDO CASTEX (COSPEC LTDA)",C.C. 86 - E. ZEBALLOS N° 1061,EDUARDO CASTEX,CONHELO,LA PAMPA,L6380,,,30-54571624-7,30/04/1936,DE PROVISION
599,COOP AGROPECUARIA LA BONITA LTDA,SAN MARTIN N° 225,COLONIA ALDAO,CASTELLANOS,SANTA FE,S2317,,(03492) 15580031,30-51300753-8,02/05/1936,AGROPECUARIA
600,COOP DE TAMBEROS LA UNION LTDA,SAN MARTIN N° 1005,BRINKMANN,SAN JUSTO (CBA),CORDOBA,X2419,,,30-61654747-6,05/05/1936,AGROPECUARIA
601,"COOP KILOMETRO UNO DE TRABAJO, VIVIENDA, CREDITO Y CONSUMO LTDA PARA EL PERS. DE CONDUCCION DE LOS",JUJUY N° 751 piso 1° Of/Dto/Loc:D,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1229,,,30-54671133-8,08/05/1936,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
607,COOP DE OBRAS Y SERVICIOS PUBLICOS LTDA DE SAN ANTONIO OESTE,MITRE N° 439,SAN ANTONIO OESTE,SAN ANTONIO (RN),RIO NEGRO,R8250,,02934421490,30-64461964-4,23/06/1936,SERVICIOS PUBLICOS
610,COOP DE ELECTRICIDAD Y SERVICIOS ANEXOS LTDA DE ZARATE,BOLIVAR Y ANDRADE,ZARATE,ZARATE,BUENOS AIRES,B2800,,422260/422002,,04/07/1936,SERVICIOS PUBLICOS
611,COOP AGRICOLA OCAVI LTDA,F.C.URQUIZA,ESTACION ALCARAZ,LA PAZ (ER),ENTRE RIOS,E3138,,,30-52589423-8,07/07/1936,AGROPECUARIA
615,COOP DE PRODUCCION Y CONSUMO DE SANTA ROSA - LA PAMPA LTDA,MANSILLA Y PELLEGRINI,SANTA ROSA (LP),CAPITAL (LP),LA PAMPA,L6300,,,,28/07/1936,CONSUMO
617,COOP POPULAR DE CONSUMO DE PAN LTDA,LAVALLE N° 535,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,S2500,cpcpcda@arnet.com,(03471) 423007,30-52662670-9,06/08/1936,CONSUMO
620,COOP AGROPECUARIA CASTELLI LTDA,AVDA 2 DE FEBRERO N° 385,JUAN JOSE CASTELLI,GENERAL GUEMES,CHACO,H3705,coopcast2000@yahoo.com.ar,(03732) 471-094/095/269,30-50200399-9,04/09/1936,AGROPECUARIA
622,COOP LTDA DE TAMBEROS DE COLONIA FRIAS,E. LOPEZ ESQ. S. IRIONDO,TACURAL (SF),CASTELLANOS,SANTA FE,S2324,,92375,33-57061694-9,10/09/1936,AGROPECUARIA
627,COOP AGROPECUARIA Y FORESTAL DE CORZUELA LTDA,MARIANO MORENO N° 101,CORZUELA,GENERAL BELGRANO (CHA),CHACO,H3718,,,30-54151747-9,16/10/1936,AGROPECUARIA
636,PRODUCTORES TAMBEROS SOCIEDAD COOP LTDA,Sin datos calle,FELICIA,LAS COLONIAS,SANTA FE,S3087,,,30-50091052-2,14/01/1937,AGROPECUARIA
637,UNION TAMBERA COOP LTDA,Sin datos calle,FELICIA,LAS COLONIAS,SANTA FE,S3087,,,30-52803084-6,15/01/1937,AGROPECUARIA
639,COOP AGRICOLA FORMOSEÑA LTDA,EUGENIO WOZNIUK ESQ.SAN MARTIN,IBARRETA,PATIÑO,FORMOSA,P3624,,,30-54078019-2,12/02/1937,AGROPECUARIA
640,COOP LTDA SAN ALFREDO,FRANCISCO SAENZ DIAZ N° 333,RAFAELA,CASTELLANOS,SANTA FE,S2300,,,30-52743975-9,13/02/1937,AGROPECUARIA
659,COOP DE CARNICEROS DE ROSARIO DE PROVISION Y TRANSFORMACION LTDA,LAMADRID (BIS) Y PEDERNERA N° 313,ROSARIO,ROSARIO,SANTA FE,S2000,,0341-4629614/4626070,30-50246797-9,01/06/1937,DE PROVISION
668,COOP ELECTRICA Y OTROS SERVICIOS DE CONCORDIA LTDA,URQUIZA N° 600,CONCORDIA,CONCORDIA,ENTRE RIOS,E3200AGJ,compras@concordia.com.ar,0345-4211144/4218060,30-54569269-0,23/07/1937,SERVICIOS PUBLICOS
669,AVIGDOR COOP AGROPECUARIA Y DE SERVICIOS PUBLICOS LTDA,Sin datos calle,COLONIA AVIGDOR,LA PAZ (ER),ENTRE RIOS,E3142,,,30-52555800-9,24/07/1937,AGROPECUARIA - AGROINDUSTRIAL
670,COOP DE TELEFONOS Y SERVICIOS PUBLICOS DE EUSEBIA LTDA,SARMIENTO N° 167,EUSEBIA,CASTELLANOS,SANTA FE,S2317,coopeusebia@interclass.com.ar,(03493) 493400/493320,30-57762740-8,26/07/1937,SERVICIOS PUBLICOS
674,COOP DE PROV. DE ENERG. ELEC. Y O. S. P. VIV. CRED. Y SERV. SOC. DE STA. ROSA DE CALAMUCHITA LTDA,LIBERTAD N° 5769,SANTA ROSA DE CALAMUCHITA,CALAMUCHITA,CORDOBA,X5196,info@coopstarosa.com.ar,(03546)420143/20452,30-54570997-6,07/09/1937,SERVICIOS PUBLICOS
678,COOP AGRICOLA DE CAÑADA RICA LTDA,AV. LONARDI N° 544,CAÑADA RICA,CONSTITUCION,SANTA FE,S2105,,,33-53078713-9,13/09/1937,AGROPECUARIA
680,COOP AGROPECUARIA LA UNION LTDA,CMTE.FERNANDEZ N° 902,PRESIDENCIA ROQUE SAENZ PEÑA,COMANDANTE FERNANDEZ,CHACO,H3700,fiambres-calul@arnet.com.ar,,30-50144824-5,04/10/1937,AGROPECUARIA
681,COOP TAMBERA PROGRESO LTDA,Sin datos calle,PROGRESO,LAS COLONIAS,SANTA FE,S3023,,,30-53191834-3,05/10/1937,AGROPECUARIA
683,COOP AGRICOLA DE EL ARBOLITO LTDA,MORENO S/N,EL ARBOLITO (BA),COLON (BA),BUENOS AIRES,B2721,coopagarbolito@sll.coopenet.com.ar,02477-496094/02473-499155,30-53064376-6,08/10/1937,AGROPECUARIA
688,COOP DE PROVISION DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS LTDA DE BERROTARAN,DR. NICOLAS M. BERROTARAN N° 157,BERROTARAN,RIO CUARTO,CORDOBA,X5817CEC,info@coopeb.com.ar,(0358) 4940027/096/094,33-54572665-9,09/11/1937,SERVICIOS PUBLICOS
689,COOP AGRICOLA DE COLONIA ORO VERDE SOCIEDAD COOP LTDA,"LOTE 22 ""B""",COLONIA ORO VERDE,LIBERTADOR GRAL SAN MARTIN(MI),MISIONES,N3334,,,30-50808944-5,01/12/1937,AGROPECUARIA
691,COOP AGRICOLA LTDA RIVADAVIA,COLON ESQ. CASTELLI N° 1197,PERGAMINO,PERGAMINO,BUENOS AIRES,B2700,,,30-52675144-9,14/12/1937,AGROPECUARIA
692,COOP DE TAMBEROS LTDA MORTERENSE,9 DE JULIO N° 863 piso 1º,MORTEROS,SAN JUSTO (CBA),CORDOBA,X2421,,,30-52702039-1,15/12/1937,AGROPECUARIA
693,COOP DE TAMBEROS LTDA LA FLOR,COLONIA MILESI,BRINKMANN,SAN JUSTO (CBA),CORDOBA,X2419,,,30-52703155-5,16/12/1937,AGROPECUARIA
694,COOP DE TAMBEROS LTDA LA TRIESTINA,9 DE JULIO N° 146,PUEBLO RAMONA,CASTELLANOS,SANTA FE,S2301,latriestina@interclass.com.ar,03492-496122,30-50176236-5,17/12/1937,AGROPECUARIA
703,COOP LTDA DE TAMBEROS LAS DOS PROVINCIAS,CORRIENTES S/Nº,COLONIA BICHA,CASTELLANOS,SANTA FE,S2317,coop2pcias@interclass.com.ar,03493-492726/492709,30-52734946-6,10/02/1938,AGROPECUARIA
708,COOP LTDA DE TAMBEROS DE COLONIA TACURALES,E.  LOPEZ N° 520,COLONIA TACURALES,CASTELLANOS,SANTA FE,S2324XAA,,(03493) 492375,30-52758575-5,02/04/1938,AGROPECUARIA
711,COOP AGROPECUARIA LA DEFENSA LTDA,AVDA. ROQUE SAENZ PEÑA N° 343,VILLA BERTHET,SAN LORENZO (CH),CHACO,H3545,,,30-50181782-8,11/04/1938,AGROPECUARIA
719,COOP LTDA LECHERA CAVOUR,SIN CALLE,CAVOUR,LAS COLONIAS,SANTA FE,S3081,,,,28/04/1938,AGROPECUARIA
721,COOP DE OBRAS Y SERVICIOS PUBLICOS LTDA DE VILLA DEL DIQUE,H. IRIGOYEN Y CHACO,VILLA DEL DIQUE,CALAMUCHITA,CORDOBA,X5862,coopvdique@grandeslagos.com.ar,(03546) 497-250/456,30-54571044-3,30/05/1938,SERVICIOS PUBLICOS
723,FEDERACION ENTRERRIANA DE COOPERATIVAS - COOP LTDA,SALTA N° 544,PARANA,PARANA,ENTRE RIOS,E3100,fedeco@arnet.com.ar,(0343) 4316417/4327004,30-53475088-5,15/06/1938,FEDERACIONES - CONFEDERACIONES
725,COOP AGROPECUARIA LTDA DE CARABELAS,BELGRANO Y RIVADAVIA,CARABELAS,ROJAS,BUENOS AIRES,B2703,coopcar@clyfer.com.ar,(02475)497111/497166,33-52542763-9,22/06/1938,AGROPECUARIA
726,"COOP DE PROV. DE OBRAS Y SERV. PUBLICOS Y SOCIALES, VIVIENDA Y CREDITO DE GODEKEN LTDA",CALLE 13 N° 785,GODEKEN,CASEROS,SANTA FE,S2640,coopgode@enredes.com.ar,(03465)498062/328,30-58658213-1,23/06/1938,SERVICIOS PUBLICOS
727,"COOP F.E.L. LTDA , (FABRICA DE ELECTRICIDAD DE LABOULAYE)",FENOGLIO Y JORGE NEWBERY,LABOULAYE,PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,X6120,,26028/27653,30-54570041-3,01/07/1938,SERVICIOS PUBLICOS
731,"COOP ELECTRICA, AGRO-INDUSTRIAL Y DE SERVICIOS DE CAUCETE LTDA",DIAGONAL SARMIENTO N° 102,CAUCETE,CAUCETE,SAN JUAN,J5442,,,30-54573156-4,15/07/1938,SERVICIOS PUBLICOS
738,TOURING COOP DE SEGUROS LTDA,ESMERALDA N° 601,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1007,,,33-56966969-9,16/08/1938,DE SEGUROS
740,"COOP DE TELECOMUNICACIONES, DE SERVICIOS MULTIPLES Y CONSUMO CORONEL BOGADO LTDA",BELGRANO N° 378,CORONEL BOGADO,ROSARIO,SANTA FE,S2103,telebogado@cooptelcb.com.ar,(03402) 491222,30-54574210-8,24/08/1938,SERVICIOS PUBLICOS
742,INDUSTRIA LECHERA DE FELICIA COOP LTDA,Sin datos calle,FELICIA,LAS COLONIAS,SANTA FE,S3087,,,30-53787123-3,26/09/1938,AGROPECUARIA
750,SOCIEDAD COOP DE TAMBEROS DE LA ZONA DE ROSARIO LTDA,HUMBERTO 1º N° 1255,ROSARIO,ROSARIO,SANTA FE,S2002DWI,presidencia@tamberosrosario.com.ar,(0341) 435-0161,30-52555640-5,28/12/1938,AGROPECUARIA
752,CAJA MUTUAL YATAY 240 SOCIEDAD COOP DE CREDITO LTDA,PASTEUR N° 90,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1028,,,30-54183371-0,11/01/1939,CREDITO
755,PRIMERA COOP FRUTICOLA DE FUERTE GENERAL ROCA LTDA,VIEDMA N° 2203,PADRE ALEJANDRO STEFANELLI,GENERAL ROCA (RN),RIO NEGRO,R8332,pricoop@neunet.com.ar,(02941) 440 022/361,30-50171460-3,13/02/1939,AGROPECUARIA
766,COOP AGRICOLA GANADERA LTDA DE TAPALQUE,9 DE JULIO N° 199,TAPALQUE,TAPALQUE,BUENOS AIRES,B7300,,,,09/04/1939,AGROPECUARIA
772,SANCOR COOPERATIVAS UNIDAS LTDA,TTE. GRAL. RICCHIERI N° 15,SUNCHALES,CASTELLANOS,SANTA FE,S2322,,(0493)-20101/28000,30-50167764-3,14/06/1939,FEDERACIONES - CONFEDERACIONES
779,SOCIEDAD NACARI COOP AGRICOLA E INDUSTRIAL REGIONAL DE NONOGASTA LTDA,JOAQUIN V. GONZALEZ S/N,NONOGASTA,CHILECITO,LA RIOJA,F5372,,,30-50443778-3,14/07/1939,AGROPECUARIA
783,SOCIEDAD COOP LTDA PANIFICADORA LA DEFENSA,CALLE 21 E/45 Y 46,COLON (BA),COLON (BA),BUENOS AIRES,B2720,,21045,30-58624492-9,20/07/1939,DE PROVISION
784,COOP AGRICOLA GANADERA SARMIENTO LTDA,AVDA. MITRE N° 500,CAPITAN SARMIENTO,CAPITAN SARMIENTO,BUENOS AIRES,B2752,,,30-52619669-0,01/08/1939,AGROPECUARIA
795,COOP AGRARIA DE AZUL LTDA,MONSEÑOR CANEVA N° 801,AZUL,AZUL,BUENOS AIRES,B7300,,22844/22819,30-52774674-0,09/10/1939,AGROPECUARIA
798,"COOP DE TAMBEROS ""EL ALBA"" LTDA",AV. ANA PASSADORE,BRINKMANN,SAN JUSTO (CBA),CORDOBA,X2421,,(03564) 450915,30-50212297-1,20/10/1939,AGROPECUARIA
801,"COOP AGRICOLA LTDA ""UNION Y PROGRESO""",MARTIN FARIAS ESQ.J.S.MARTIN N° 502,PRESIDENCIA  DE LA PLAZA,PRESIDENTE DE LA PLAZA,CHACO,H3536,coopunionyprogreso@arnet.com.ar,(03734) 420022,30-52670224-3,24/10/1939,AGROPECUARIA
806,EL PORVENIR COOP DE CREDITO LTDA,JUAN RAMIREZ DE VELAZCO N° 710,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1414,,855/8575,30-53471161-8,20/11/1939,CREDITO
807,"COOP. ELECTRICA DE GODOY CRUZ, EDIFICACION, SERV. PUBLICO Y CONSUMO LTDA.",FLORENCIO SANCHEZ N° 420,GODOY CRUZ,GODOY CRUZ,MENDOZA,M5501CKJ,,0261-4228122/4350120,30-54571754-5,21/11/1939,SERVICIOS PUBLICOS
811,"COOP DE TAMBEROS ""MORTEROS"" LTDA",ESPAÑA N° 1091,MORTEROS,SAN JUSTO (CBA),CORDOBA,X2421,bertona@coopmorteros.com.ar,(03562) 422430,30-52757862-7,04/01/1940,AGROPECUARIA
817,FEDERACION DE COOPERATIVAS AGRICOLAS DE MISIONES,AV. URUGUAY Y BUCHARDO,POSADAS,CAPITAL (MI),MISIONES,N3300,fedecoop@arnet.com.ar,(03752)458505,30-50076840-8,25/01/1940,FEDERACIONES - CONFEDERACIONES
818,COOP LTDA AGRICOLA GANADERA DE SUNCHALES,25 DE MAYO N° 359,SUNCHALES,CASTELLANOS,SANTA FE,S2322,,,30-52947896-4,26/01/1940,AGROPECUARIA
821,LA PAMPA COOP AGRICOLA GANADERA DE COLONIZACION Y CONSUMO LTDA,AVDA. MORENO N° 735,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500,,27071/27072,30-52633847-9,04/03/1940,AGROPECUARIA
823,"COOP DE TAMBEROS DE TUCUMAN, INDUSTRIAL DE PROV., TRANSFORMACION Y COMERCIALIZACION LTDA",SAN JUAN N° 225,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,30-54501023-9,14/03/1940,AGROPECUARIA
824,COOP AGRICOLA ALGODONERA LA BANDA LTDA,25 DE MAYO N° 1205,LA BANDA,BANDA,SANTIAGO DEL ESTERO,G4300GGU,,427-0061/0005,30-50087172-1,25/03/1940,AGROPECUARIA
829,COOP LTDA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE HUINCA RENANCO,SUIPACHA N° 272,HUINCA RENANCO,GENERAL ROCA (CBA),CORDOBA,X6270CYF,coophr@huincacoop.com.ar,02336-442582/442037,30-54571358-2,26/04/1940,SERVICIOS PUBLICOS
830,COOP TAMBERA LA ARGENTINA LTDA,ZONA URBANA S/N B° DEPTO CASTELLANOS,COLONIA SAN ANTONIO,CASTELLANOS,SANTA FE,S2301,cooplaargentina@arnet.com.ar,03492-491152/491030,30-60569419-1,03/05/1940,AGROPECUARIA
831,COOP DE CREDITO LA CAPITAL COOP LTDA,PTE. JOSE E. URIBURU N° 222,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1027AAF,,4952-2612/1806,30-53445405-4,07/05/1940,CREDITO
835,COOP ELECTRICA LTDA DE ESMERALDA,Sin datos calle,ESMERALDA,CASTELLANOS,SANTA FE,S2456,,,,06/06/1940,SERVICIOS PUBLICOS
836,COOP DE TAMBEROS LTDA LA FLOR DE MAUA,Sin datos calle,COLONIA MAUA,CASTELLANOS,SANTA FE,S2311,,,,07/06/1940,AGROPECUARIA
839,"COOP DE PROV.DE ENERGIA ELECT.Y OTROS SERV.PUB.Y SOC.,DE VIVIENDA Y CREDITO DE ELORTONDO LTDA",MAIPU N° 547,ELORTONDO,GENERAL LOPEZ,SANTA FE,S2732AYI,coopelor@enredes.com.ar,03462-47-0078/470345/0050,30-54570157-6,02/07/1940,SERVICIOS PUBLICOS
840,COOP AGRICOLA DE GODOY LTDA,BELGRANO N° 601,GODOY,CONSTITUCION,SANTA FE,S2921,coopgodoy@arnet.com.ar,(03460) 497-001/015/116,30-52532809-7,12/07/1940,AGROPECUARIA
843,COOP AGRICOLA DE MANUEL OCAMPO LTDA,F.C.G.B.M.,MANUEL OCAMPO,PERGAMINO,BUENOS AIRES,B2713,,0477/94024,30-52583708-0,16/08/1940,AGROPECUARIA
845,COOP DE CREDITOS Y PROVISION DE SERVICIOS PUBLICOS DE LAS PAREJAS LTDA,AVDA. 13 N° 884,LAS PAREJAS,BELGRANO (SF),SANTA FE,S2505,coopservicios@tvicom.com.ar,(03471)471111,30-54570607-1,26/08/1940,CREDITO - SERVICIOS
846,LA CAMIONERA SOCIEDAD COOP LTDA,PEDRO MORAN N° 2650,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1419,,,,28/08/1940,DE PROVISION
848,COOP AGROPECUARIA DE ALCORTA LTDA,ITALIA N° 818,PUEBLO ALCORTA,CONSTITUCION,SANTA FE,S2117,,(03465) 470344/470247,30-52971723-3,02/09/1940,AGROPECUARIA
849,COOP DE OBRAS Y SERVICIOS PUBLICOS Y SOCIALES DE HERNANDO LTDA,9 DE JULIO Y LAVALLE,HERNANDO,TERCERO ARRIBA,CORDOBA,X5929,coopher@coop-her.com.ar,(0353)4960-188/880/875,30-54574579-4,03/09/1940,SERVICIOS PUBLICOS
850,COOP DE PROVISION DE OBRAS Y SERVICIOS PUBLICOS DE VILLA MUGUETA LTDA,MITRE N° 159,VILLA MUGUETA,SAN LORENZO (SF),SANTA FE,S2175,,(03464) 497153,30-54571518-6,06/09/1940,SERVICIOS PUBLICOS
851,"COOP DE SERVICIOS PUBLICOS, SOCIALES Y VIVIENDA DE AVELLANEDA LTDA.",CALLE 17 N° 630,AVELLANEDA (SF),GENERAL OBLIGADO,SANTA FE,S3561AXN,gerencia@cosepav.com.ar,03482-481576,33-54573248-9,17/09/1940,SERVICIOS PUBLICOS
853,COOP AGROPECUARIA UNION Y TRABAJO LTDA,SANTIAGO DEL ESTERO N° 315,QUITILIPI,QUITILIPI,CHACO,H3530,,,30-50185647-5,23/09/1940,AGROPECUARIA
865,FEDERACION ARGENTINA DE COOPERATIVAS DE CONSUMO LTDA (F.A.C.C.),URUGUAY N° 651 piso 10° Of/Dto/Loc:A,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1015ABM,,4373-0652/0996,30-52531974-8,27/11/1940,FEDERACIONES - CONFEDERACIONES
866,TRANSPORTADORES UNIDOS COOP LTDA DE SEGUROS,AV. BELGRANO N° 1870,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1094,,,,27/12/1940,DE SEGUROS
868,COOP DE TRANSPORTE DE TRES ARROYOS LTDA,C.C.276 - AVDA.DEL TRABAJADOR N° 698,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500,,,30-52716650-7,16/01/1941,TRABAJO
876,"COOP LTDA DE TAMBEROS ""SAN BERNARDO""",EST. PALACIOS,COLONIA BOSSI,CASTELLANOS,SANTA FE,S2326,,,30-52987494-0,12/03/1941,AGROPECUARIA
878,COOP ARGENTINA DE FLORICULTORES LTDA,OLAVARRIA N° 3240,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1281,secretaria@floricultores.com.ar,4303-1700,30-52540309-9,09/04/1941,AGROPECUARIA
880,COOP AGROPECUARIA Y FORESTAL TRES ISLETAS LTDA,LONARDI N° 465,TRES ISLETAS,MAIPU (CHA),CHACO,H3703,,,33-50171347-9,19/04/1941,AGROPECUARIA
881,NUESTRA CASA COOP AGROPECUARIA LTDA,BELGRANO N° 190,JACINTO ARAUZ,HUCAL,LA PAMPA,L8208,,,30-52782532-2,15/05/1941,AGROPECUARIA
883,COOP DE TAMBEROS LTDA LA SELECTA,SAN MARTIN N° 208,LA PAQUITA,SAN JUSTO (CBA),CORDOBA,X2417,,03562-495039,33-52790124-9,16/06/1941,AGROPECUARIA
